player_id,age,country,skill_level,daily_playtime_hours,sessions_per_week,is_paying_user,monthly_spend_usd,win_rate,friends_count,guild_member,days_since_last_login,complaint_count,will_churn,created_date
player_000000,22,Germany,Advanced,2.28,6,1,44.66,0.795,15,0,2,0,0,2024-10-16 14:37:56.420379
player_000001,22,USA,Advanced,0.56,5,1,84.27,0.511,14,1,0,1,0,2025-06-04 14:37:56.420507
player_000002,22,USA,Intermediate,0.51,8,0,0.0,0.502,12,0,4,0,0,2025-03-28 14:37:56.420619
player_000003,28,India,Beginner,4.22,8,0,0.0,0.345,21,0,3,1,0,2024-09-14 14:37:56.420719
player_000004,25,USA,Intermediate,0.5,5,0,0.0,0.844,12,1,4,1,0,2025-01-01 14:37:56.420820
player_000005,18,Germany,Intermediate,4.12,7,0,0.0,0.448,23,1,3,0,0,2024-09-27 14:37:56.420920
player_000006,35,India,Intermediate,0.89,4,0,0.0,0.531,17,0,3,0,0,2024-12-29 14:37:56.421019
player_000007,25,USA,Beginner,4.51,5,0,0.0,0.702,14,0,1,0,0,2025-04-13 14:37:56.421117
player_000008,32,India,Intermediate,4.25,9,1,54.53,0.502,21,0,0,1,0,2024-12-17 14:37:56.421217
player_000009,25,UK,Intermediate,0.63,9,0,0.0,0.761,15,1,0,1,1,2025-04-18 14:37:56.421314
player_000010,25,India,Advanced,7.69,9,1,9.53,0.938,16,1,13,0,0,2024-12-20 14:37:56.421417
player_000011,32,Brazil,Intermediate,3.03,15,0,0.0,0.709,16,0,5,0,1,2025-01-06 14:37:56.421517
player_000012,25,Brazil,Beginner,2.44,7,0,0.0,0.18,19,1,0,0,0,2025-01-24 14:37:56.421621
player_000013,25,Brazil,Intermediate,0.82,8,0,0.0,0.546,15,0,1,0,0,2025-01-04 14:37:56.421731
player_000014,25,India,Intermediate,2.46,6,0,0.0,0.516,14,1,1,2,1,2025-02-12 14:37:56.421828
player_000015,18,India,Beginner,2.87,5,0,0.0,0.357,19,0,4,2,0,2025-01-26 14:37:56.421925
player_000016,28,India,Advanced,4.89,10,1,2.39,0.807,16,0,1,1,0,2025-01-10 14:37:56.422023
player_000017,28,India,Intermediate,0.5,8,0,0.0,0.51,8,1,1,0,0,2024-12-23 14:37:56.422120
player_000018,35,Germany,Advanced,1.18,7,0,0.0,0.9,25,0,6,0,0,2025-05-19 14:37:56.422218
player_000019,16,Germany,Beginner,5.54,12,0,0.0,0.805,15,1,0,3,1,2025-04-27 14:37:56.422316
player_000020,32,UK,Beginner,6.05,8,0,0.0,0.625,15,0,0,4,0,2024-11-05 14:37:56.422416
player_000021,35,Brazil,Beginner,1.5,7,0,0.0,0.615,16,1,1,0,1,2024-12-15 14:37:56.422517
player_000022,28,UK,Advanced,0.6,4,0,0.0,0.599,14,1,8,0,0,2025-06-02 14:37:56.422616
player_000023,25,India,Intermediate,9.78,5,0,0.0,0.343,15,0,0,0,1,2024-10-25 14:37:56.422719
